lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,fl_originations,states_with_originations,priority_match
2549008X67CV1MNM7747,,,,unmatched,2034,1137,235,NY:744;FL:235;NJ:85;PA:27;NC:12;GA:12;SC:10;TX:5,high
5493008ZTV4S0W9DCX64,,,,unmatched,2958,1231,229,CA:461;TX:305;FL:229;GA:85;NC:54;TN:39;SC:30;PA:16,high
254900LTD432L5CHIZ48,,,,unmatched,2865,1424,228,CA:920;FL:228;TX:100;GA:64;NJ:39;PA:22;TN:15;MA:13,high
984500F6E6940CCB6A60,,,,unmatched,3623,2372,227,NY:532;TX:458;CA:403;NJ:403;FL:227;GA:76;TN:75;PA:70,high
5493008VVXQIDO1EZ460,,,,unmatched,4088,2620,225,CA:951;TX:471;TN:425;GA:378;FL:225;NC:83;PA:41;SC:21,high
549300NFPC3Y4W3Y7R87,,,,unmatched,4350,2197,225,TX:623;SC:342;NC:297;CA:292;GA:272;FL:225;TN:73;MA:38,high
54930034MNPILHP25H80,,,,unmatched,5377,3844,223,TX:2178;SC:653;NJ:337;FL:223;TN:194;NC:193;PA:52;GA:12,high
5493000EUC3MM52PJV85,,,,unmatched,4301,2797,223,CA:2354;FL:223;TX:92;NJ:46;GA:25;PA:14;TN:14;NC:11,high
5493005PD34O8ZT7QT17,,,,unmatched,3928,2653,222,PA:757;NJ:321;TX:319;GA:244;NY:241;TN:224;FL:222;NC:182,high
254900V6GCDMRQZ34D96,,,,unmatched,1545,865,217,CA:302;FL:217;NY:176;NJ:67;TX:30;PA:22;MA:18;TN:11,high
54930072OCHTUJOZQB56,,,,unmatched,1949,1459,211,TN:641;GA:214;FL:211;NC:94;SC:94;TX:83;PA:83;CA:38,high
254900F9ZTVTX763V835,,,,unmatched,2964,2280,210,NJ:1831;FL:210;PA:148;NY:29;CA:19;NC:17;SC:14;MA:6,high
549300RM1IZYGQDSNL85,,,,unmatched,2927,815,206,FL:206;TX:167;TN:152;NC:60;NY:56;GA:49;CA:32;SC:26,high
549300J4330IBZ0BBI43,,,,unmatched,586,266,206,FL:206;GA:32;SC:9;CA:8;TN:6;NJ:4;MA:1,high
2WHM8VNJH63UN14OL754,,,,unmatched,4978,2897,204,PA:1812;NC:245;FL:204;TX:169;SC:129;NJ:106;TN:74;GA:64,high
549300UT4EN6IH579Q63,,,,unmatched,3430,2320,201,TX:1923;FL:201;GA:82;TN:66;CA:44;NC:4,high
549300VJQJVZKJBDWS17,,,,unmatched,2909,2144,201,MA:1361;FL:201;NY:185;PA:117;NJ:112;SC:92;NC:33;GA:21,high
5493001JT9MT3Z3Y3M39,,,,unmatched,798,508,201,FL:201;TX:95;CA:62;GA:31;NC:28;NY:23;TN:19;MA:16,high
254900WEP08K7U7S3A80,,,,unmatched,2357,1849,199,TX:709;FL:199;CA:177;NJ:167;TN:167;NC:126;GA:91;SC:74,high
549300249G20MDIDRR27,,,,unmatched,6713,1719,197,TX:748;SC:336;FL:197;NC:160;TN:135;GA:135;PA:6;CA:2,high
5493001YIUWLFRXQUO81,,,,unmatched,694,507,191,FL:191;PA:159;NC:117;CA:20;SC:10;TX:6;NJ:4,high
549300M8WGW2D17CZD19,,,,unmatched,2521,1913,190,TX:1580;FL:190;GA:69;SC:39;TN:17;NC:8;CA:6;PA:2,high
254900WT4HAMDFWH3048,,,,unmatched,2588,969,188,TX:190;FL:188;CA:164;NC:118;GA:93;PA:66;NJ:65;TN:47,high
54930021DZJ9CEN11D61,,,,unmatched,1231,699,185,FL:185;GA:184;TN:124;NJ:39;MA:33;NC:32;CA:31;TX:26,high
