company_nmls_id,legal_name,source_families,source_record_keys
10098,"PAR EAST MORTGAGE CO., INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR7175|FL|NMLS|MBR|MBR7175
1009871,BRIDGEPOINT MORTGAGE LLC,monthly_mbr,FL|MONTHLY|MBR|MBR1808
1011251,"NORTH POINT MORTGAGE ADVISORS, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1847|FL|NMLS|MBR|MBR1847
1011688,FLORIDA MORTGAGE PROCESSING GROUP LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1310|FL|NMLS|MBR|MBR1310
1013937,"NATIONSWAY FINANCIAL SERVICES, INC",monthly_mbr,FL|MONTHLY|MBR|MBR1311
1014298,1ST AMERICAN LENDING LLC,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1961|FL|NMLS|MBR|MBR1961
1014315,"ZINGENUITY, INC.",monthly_mld,FL|MONTHLY|MLD|MLD1175
1014392,"ADVISORS CAPITAL, INC.",monthly_mld,FL|MONTHLY|MLD|MLD1603
101475,FEDERATED MORTGAGE CORP.,monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD951|FL|NMLS|MLD|MLD951
1014768,"J HARPER MORTGAGE ASSOCIATES, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1308
1015512,"REAL PROPERTY CAPITAL FINANCE, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1366|FL|MONTHLY|MBR|MBR5059
101561,"HOWARD HANNA FINANCIAL SERVICES, INC.",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD2255|FL|NMLS|MLD|MLD2255
1015993,"VIRTUA FUNDING, LLC",monthly_mbr,FL|MONTHLY|MBR|MBR1409|FL|MONTHLY|MBR|MBR3358
1016,"INLANTA MORTGAGE, INC.",monthly_mld,FL|MONTHLY|MLD|MLD55
1016158,PREMIER MORTGAGE SERVICES CORP.,monthly_mbr,FL|MONTHLY|MBR|MBR1321
1016597,"HOMIE LOANS, LLC",monthly_mbr,FL|MONTHLY|MBR|MBR2202
1016892,"MORTGAGEHIPPO, INC.",monthly_mbr,FL|MONTHLY|MBR|MBR1642
101770,"NORTHWEST FUNDING GROUP, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR4670|FL|NMLS|MBR|MBR4670
101794,HOLIDAY INN CLUB VACATIONS INCORPORATED,monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD732|FL|NMLS|MLS|MLD732
1018,"GO MORTGAGE, LLC",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD885|FL|MONTHLY|MLD|MLD919|FL|NMLS|MLS|MLD919
101806,"AMERICAN RESIDENTIAL MORTGAGE SERVICES, LLC",monthly_mbr,FL|MONTHLY|MBR|MBR732
1018322,DIVERSIFIED LENDING GROUP LLC,monthly_mbr,FL|MONTHLY|MBR|MBR4494
1018333,"TOTAL MEDIA MANAGEMENT, LLC",monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD1391|FL|NMLS|MLD|MLD1391
1018489,"UPSTATE PREMIER MORTGAGE, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1840|FL|NMLS|MBR|MBR1840
1019,MLD MORTGAGE INC.,monthly_mld|nmls_prr,FL|MONTHLY|MLD|MLD498|FL|MONTHLY|MLD|MLD952|FL|NMLS|MLS|MLD952
1019709,"CONCORD ONE FINANCIAL, LLC",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR2595|FL|NMLS|MBR|MBR2595
1019723,ERIKA DIANA JOHNSON,monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR3033|FL|NMLS|MBR|MBR3033
1019744,MY MORTGAGE SOURCE LLC,monthly_mbr,FL|MONTHLY|MBR|MBR1346
1019791,"FULL BEAKER, INC.",monthly_mbr|nmls_prr,FL|MONTHLY|MBR|MBR1412|FL|NMLS|MBR|MBR1412
