lei,institution_name,nmls_id,our_lender_slug,match_status,total_applications,total_originations,ks_originations,states_with_originations,priority_match
549300JX8UXNIMMZYW86,,,,unmatched,119,111,2,TX:88;TN:7;MO:5;GA:4;VA:2;KS:2;OK:1;MS:1;AR:1,medium
984500C6D3DC0BE5E321,,,,unmatched,125,102,2,GA:37;PA:16;NC:13;TN:13;FL:6;SC:5;TX:4;NJ:2;KS:2;VA:2,medium
549300O2D8BPO6PJRB90,,,,unmatched,1326,958,2,OK:709;AR:227;TX:14;KS:2;MO:2;CA:1;CO:1;MS:1;FL:1,medium
5493000XYE7QL54NMB52,,,,unmatched,1908,1433,2,IL:1286;MO:85;IA:31;FL:13;IN:6;CO:2;KS:2;OH:1;MI:1;AZ:1,medium
549300HN58ONH5KNJJ12,,,,unmatched,1243,1064,2,WI:806;MO:197;IL:32;FL:6;CO:4;TN:3;TX:3;MI:3;MN:2;KS:2,medium
549300U82B82JH54TO79,,,,unmatched,1345,1120,2,NE:1077;IA:14;CO:6;AZ:4;IL:3;NC:2;SD:2;KS:2;MO:2;FL:1,medium
II61D6IY86YZ37HBBL25,,,,unmatched,910,716,2,IA:576;AZ:101;NE:21;MO:5;MN:3;KS:2;IL:2;FL:2;SD:1;TN:1,medium
254900N133DZGPB2X985,,,,unmatched,504,504,2,ID:376;WA:71;OR:39;MT:9;AZ:2;CA:2;KS:2;NV:1;OH:1;TX:1,medium
5493000B61DDZ2PG1515,,,,unmatched,183,106,2,TX:44;CO:33;IL:17;IA:6;NM:3;KS:2;AZ:1,low
549300SWHFQY2F7RN335,,,,unmatched,31,20,2,CA:10;TX:6;KS:2;NV:2,low
